"","f1","f2","f3","f4","f5","f6","f7","f8"
"335",0,0.1,0.1,0.1,0.1,0.1,0.25,0.25
"336",0,0.1,0.1,0.1,0.1,0.15,0.15,0.3
"337",0,0.1,0.1,0.1,0.1,0.15,0.2,0.25
"338",0,0.1,0.1,0.1,0.1,0.2,0.2,0.2
"339",0,0.1,0.1,0.1,0.15,0.15,0.15,0.25
"340",0,0.1,0.1,0.1,0.15,0.15,0.2,0.2
"341",0,0.1,0.1,0.15,0.15,0.15,0.15,0.2
"342",0,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"343",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.65
"344",0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.6
"345",0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.55
"346",0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.5
"347",0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.45
"348",0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.4
"349",0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35
"350",0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.55
"351",0.05,0.05,0.05,0.05,0.05,0.1,0.15,0.5
"352",0.05,0.05,0.05,0.05,0.05,0.1,0.2,0.45
"353",0.05,0.05,0.05,0.05,0.05,0.1,0.25,0.4
"354",0.05,0.05,0.05,0.05,0.05,0.1,0.3,0.35
"355",0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.45
"356",0.05,0.05,0.05,0.05,0.05,0.15,0.2,0.4
"357",0.05,0.05,0.05,0.05,0.05,0.15,0.25,0.35
"358",0.05,0.05,0.05,0.05,0.05,0.15,0.3,0.3
"359",0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.35
"360",0.05,0.05,0.05,0.05,0.05,0.2,0.25,0.3
"361",0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.25
"362",0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5
"363",0.05,0.05,0.05,0.05,0.1,0.1,0.15,0.45
"364",0.05,0.05,0.05,0.05,0.1,0.1,0.2,0.4
"365",0.05,0.05,0.05,0.05,0.1,0.1,0.25,0.35
"366",0.05,0.05,0.05,0.05,0.1,0.1,0.3,0.3
"367",0.05,0.05,0.05,0.05,0.1,0.15,0.15,0.4
"368",0.05,0.05,0.05,0.05,0.1,0.15,0.25,0.3
"369",0.05,0.05,0.05,0.05,0.1,0.2,0.2,0.3
"370",0.05,0.05,0.05,0.05,0.1,0.2,0.25,0.25
"371",0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.35
"372",0.05,0.05,0.05,0.05,0.15,0.15,0.2,0.3
"373",0.05,0.05,0.05,0.05,0.15,0.15,0.25,0.25
"374",0.05,0.05,0.05,0.05,0.15,0.2,0.2,0.25
"375",0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2
"376",0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.45
